id,Cauce,Municipio,Provincia,Coordenadas UTM,X,Y,Z,Tipo de aforo,Instrumentación,Cuenca vertiente,titulo
2092,Águeda,Zamarra,Salamanca,Huso 30,40.535331299798756,-6.484515037638317,639,---,Sonda,"836,40 km2",Águeda en Salida del embalse del Águeda
2094,Huebra,Bermellar,Salamanca,Huso 30,40.99474547524802,-6.625880247041095,592,---,Sonda,"2.482,10 km2",Huebra en Puente Resbala
2097,Pisuerga,Valladolid,Valladolid,Huso 30,41.661169484572376,-4.732358651919092,690,---,Sonda,"15.561,80 km2",Pisuerga en Valladolid-Pisuerga
2098,Bernesga,Villamanín,León,Huso 30,42.93496516642881,-5.657665687749085,1125,---,Sonda y limnígrafo,"131,30 km2",Bernesga en Villamanín
2099,Tera,Milles de La Polvorosa,Zamora,Huso 30,41.94205614846428,-5.782924744291211,695,---,Neumático y limnígrafo,"2.356,40 km2",Tera en Mózar de Valverde
2101,Duero,Molinos de Duero,Soria,Huso 30,41.88877217738131,-2.785925337405718,1100,---,Sonda y limnígrafo,"131,50 km2",Duero en Molinos de Duero
2102,Esla,Crémenes,León,Huso 30,42.93344058405754,-5.100490060579476,1004,---,Flotador y limnígrafo,"612,80 km2",Esla en Las Salas
2103,Esla,Sabero,León,Huso 30,42.833510158211105,-5.130906630738354,948,---,Sonda y limnígrafo,"765,10 km2",Esla en Cistierna
2104,Cea,Almanza,León,Huso 30,42.61335066338172,-5.038660943780502,878,---,Flotador,"468,10 km2",Cea en Villaverde de Arcayos
2105,Valderaduey,Santervás de Campos,Valladolid,Huso 30,42.21572265337893,-5.096569089310041,756,---,Sonda y limnígrafo,"279,10 km2",Valderaduey en Santervás de Campos
2106,Pisuerga,Cervera de Pisuerga,Palencia,Huso 30,42.89925968653243,-4.525083086440343,1026,---,Flotador,"252,60 km2",Pisuerga en Arbejal
2107,Rivera,Cervera de Pisuerga,Palencia,Huso 30,42.865958937190115,-4.525768635145996,1027,---,Flotador y limnígrafo,"54,00 km2",Rivera en Salida del embalse de Cervera
2108,Carrión,Velilla del río Carrión,Palencia,Huso 30,42.895206525093776,-4.744544337610116,1228,---,Sonda y limnígrafo,"230,30 km2",Carrión en Salida del embalse de Camporredondo
2109,Arlanzón,Villasur de Herreros,Burgos,Huso 30,42.269670966074855,-3.3395536849290517,1107,---,Flotador y limnígrafo,"107,10 km2",Arlanzón en Salida del embalse de Arlanzón
2111,Esla,Mansilla de Las Mulas,León,Huso 30,42.51648894606736,-5.374364370282523,804,---,Flotador y limnígrafo,"1.348,30 km2",Esla en Villómar
