id,Provincia,Nombre,X,Y,Z
3330Y,MADRID,ROZAS DE PUERTO REAL,41.08333333333333,-4.716666666666667,890
3337U,AVILA,CEBREROS,40.516666666666666,-4.8,850
3338,MADRID,ROBLEDO DE CHAVELA,41.08333333333333,-4.25,763
3343Y,MADRID,VALDEMORILLO,41.28333333333333,-4.716666666666667,884
3362Y,TOLEDO,CASTILLO DE BAYUELA,40.583333333333336,-5.5,560
3365A,TOLEDO,TALAVERA DE LA REINA,40.46666666666667,-5.666666666666666,372
3386A,CACERES,NAVALVILLAR DE IBOR,40.083333333333336,-5.433333333333334,923
3391,AVILA,SOTILLO DE LA ADRADA,40.6,-5.033333333333333,630
3422D,AVILA,CANDELEDA,40.483333333333334,-5.983333333333333,350
3423I,CACERES,MADRIGAL DE LA VERA,40.38333333333333,-5.766666666666667,464
3427Y,TOLEDO,OROPESA,40.583333333333336,-5.966666666666667,345
3434X,CACERES,NAVALMORAL DE LA MATA,40.68333333333333,-6.516666666666667,269
3436D,CACERES,GARGANTA LA OLLA,40.766666666666666,-5.866666666666666,690
3448X,CACERES,SERRADILLA,40.06666666666667,-6.766666666666667,406
3455X,CACERES,JARAICEJO,39.86666666666667,-6.3,559
3463X,CACERES,TRUJILLO,40.41666666666667,-6.1,503
3463Y,CACERES,TRUJILLO,40.300000000000004,-6.316666666666667,523
3469,CACERES,"CÁCERES, CIUDAD",40.016666666666666,-6.949999999999999,459
3469A,CACERES,CÁCERES,39.75,-6.666666666666666,394
3475X,CACERES,CAÑAVERAL,40.21666666666666,-6.949999999999999,373
3494U,CACERES,NUÑOMORAL,40.88333333333333,-6.616666666666667,470
3503,CACERES,GUIJO DE GRANADILLA,40.55,-6.216666666666667,400
3504X,CACERES,HERVÁS,41.15,-6.516666666666667,724
3512X,CACERES,MONTEHERMOSO,40.91666666666667,-6.666666666666666,351
3514B,CACERES,TORNAVACAS,40.766666666666666,-6.366666666666667,991
3516X,CACERES,PIORNAL,40.36666666666667,-6.766666666666667,1260
3519X,CACERES,PLASENCIA,40.61666666666667,-6.233333333333333,415
3526X,CACERES,CORIA,40.21666666666667,-7.0,313
3531X,CACERES,TORRECILLA DE LOS ANGELES,40.55,-7.1000000000000005,459
3536X,CACERES,HOYOS,40.65,-7.183333333333334,560
3540X,CACERES,ZARZA LA MAYOR,40.15,-7.449999999999999,336
3547X,CACERES,VALVERDE DEL FRESNO,40.63333333333333,-7.6499999999999995,450
3562X,CACERES,ALISEDA,40.06666666666666,-6.916666666666667,321
3565X,CACERES,BROZAS,39.7,-7.433333333333334,425
3576X,CACERES,VALENCIA DE ALCÁNTARA,40.28333333333333,-8.083333333333334,444
